event_id,split,reference_theta_deg,reference_phi_deg,reference_energy_eev,selected_stations,zenith_bin,multiplicity_bin,energy_bin,stratum
71817775700,train,43.83,273.49,2.943,6.0,30-45,6-7,q1,30-45|6-7|q1
71821334500,test,25.13,9.86,29.363,10.0,15-30,8-11,q4,15-30|8-11|q4
71832419000,train,36.73,335.99,2.54,6.0,30-45,6-7,q1,30-45|6-7|q1
71842452300,validation,11.85,193.31,20.085,7.0,0-15,6-7,q4,0-15|6-7|q4
71855971500,train,56.48,57.01,17.155,17.0,45-60,12+,q4,45-60|12+|q4
71866675200,train,17.29,16.16,4.88,6.0,15-30,6-7,q3,15-30|6-7|q3
71898327100,train,52.47,245.3,6.029,7.0,45-60,6-7,q3,45-60|6-7|q3
71920735300,train,42.0,243.46,8.579,9.0,30-45,8-11,q4,30-45|8-11|q4
71957711600,train,28.04,235.7,3.058,6.0,15-30,6-7,q1,15-30|6-7|q1
72065151000,train,25.64,317.63,10.192,8.0,15-30,8-11,q4,15-30|8-11|q4
72125057600,test,59.51,290.88,6.354,9.0,45-60,8-11,q3,45-60|8-11|q3
72157701100,train,38.18,194.54,4.977,6.0,30-45,6-7,q3,30-45|6-7|q3
72200957100,train,54.55,27.0,4.023,8.0,45-60,8-11,q2,45-60|8-11|q2
72216443501,test,21.46,203.43,5.032,7.0,15-30,6-7,q3,15-30|6-7|q3
72234094000,train,29.65,7.19,6.929,8.0,15-30,8-11,q3,15-30|8-11|q3
72247754700,validation,6.5,61.93,22.693,9.0,0-15,8-11,q4,0-15|8-11|q4
72264086000,train,52.28,163.49,2.932,8.0,45-60,8-11,q1,45-60|8-11|q1
72313304800,train,53.09,288.68,3.027,8.0,45-60,8-11,q1,45-60|8-11|q1
72474231300,train,6.22,273.53,5.987,6.0,0-15,6-7,q3,0-15|6-7|q3
72566621400,train,28.4,217.93,2.692,6.0,15-30,6-7,q1,15-30|6-7|q1
72586271900,train,42.39,359.4,14.751,9.0,30-45,8-11,q4,30-45|8-11|q4
72614735800,train,37.96,208.36,4.942,7.0,30-45,6-7,q3,30-45|6-7|q3
72690091500,train,57.63,23.48,11.552,12.0,45-60,12+,q4,45-60|12+|q4
72744782100,test,56.34,110.25,4.634,12.0,45-60,12+,q2,45-60|12+|q2
72747101200,train,29.29,8.65,3.411,6.0,15-30,6-7,q2,15-30|6-7|q2
72847222401,train,59.63,202.68,2.833,11.0,45-60,8-11,q1,45-60|8-11|q1
72872194500,test,46.95,231.72,5.443,7.0,45-60,6-7,q3,45-60|6-7|q3
72888019100,train,20.88,273.02,7.222,8.0,15-30,8-11,q3,15-30|8-11|q3
72894846200,train,34.33,227.98,2.827,6.0,30-45,6-7,q1,30-45|6-7|q1
72904300800,train,19.92,290.32,6.4,6.0,15-30,6-7,q3,15-30|6-7|q3
72927478600,train,10.51,336.18,20.667,8.0,0-15,8-11,q4,0-15|8-11|q4
73003687800,validation,51.4,86.89,4.852,7.0,45-60,6-7,q3,45-60|6-7|q3
73018103900,train,12.08,3.16,3.935,7.0,0-15,6-7,q2,0-15|6-7|q2
73105305300,train,31.12,173.55,7.435,8.0,30-45,8-11,q3,30-45|8-11|q3
73155456800,train,24.89,250.37,3.144,6.0,15-30,6-7,q1,15-30|6-7|q1
73276248500,train,47.62,284.1,18.012,11.0,45-60,8-11,q4,45-60|8-11|q4
73434621400,train,28.34,214.74,4.147,6.0,15-30,6-7,q2,15-30|6-7|q2
73475689300,test,39.02,185.58,15.095,11.0,30-45,8-11,q4,30-45|8-11|q4
73538162500,train,10.04,283.54,8.128,7.0,0-15,6-7,q4,0-15|6-7|q4
80036200200,train,39.08,216.9,4.036,8.0,30-45,8-11,q2,30-45|8-11|q2
80056524500,test,36.81,145.43,3.643,6.0,30-45,6-7,q2,30-45|6-7|q2
80097910100,train,30.78,300.36,3.465,8.0,30-45,8-11,q2,30-45|8-11|q2
80156610600,test,59.0,4.32,4.476,10.0,45-60,8-11,q2,45-60|8-11|q2
80202983200,train,44.55,129.16,9.623,8.0,30-45,8-11,q4,30-45|8-11|q4
80204922500,train,15.32,149.26,7.193,6.0,15-30,6-7,q3,15-30|6-7|q3
80366196400,train,56.39,96.23,4.21,9.0,45-60,8-11,q2,45-60|8-11|q2
80432962300,train,59.68,84.71,3.594,8.0,45-60,8-11,q2,45-60|8-11|q2
80523660200,train,31.79,29.95,56.763,14.0,30-45,12+,q4,30-45|12+|q4
80591712100,train,12.44,16.37,4.479,6.0,0-15,6-7,q2,0-15|6-7|q2
80652607100,train,23.07,39.88,3.24,6.0,15-30,6-7,q1,15-30|6-7|q1
80765091800,train,52.72,74.47,3.023,7.0,45-60,6-7,q1,45-60|6-7|q1
80765351800,train,47.7,155.52,9.381,7.0,45-60,6-7,q4,45-60|6-7|q4
80782113000,train,35.73,71.27,2.777,6.0,30-45,6-7,q1,30-45|6-7|q1
80813725800,train,46.39,87.12,3.23,8.0,45-60,8-11,q1,45-60|8-11|q1
80902811700,train,26.32,188.02,9.61,8.0,15-30,8-11,q4,15-30|8-11|q4
80920804900,train,38.05,352.59,3.023,6.0,30-45,6-7,q1,30-45|6-7|q1
80932045700,train,35.59,320.5,3.703,6.0,30-45,6-7,q2,30-45|6-7|q2
80961439900,train,18.62,249.25,3.034,6.0,15-30,6-7,q1,15-30|6-7|q1
81080590400,train,58.81,142.25,7.123,12.0,45-60,12+,q3,45-60|12+|q3
81087227700,train,51.69,337.01,10.234,11.0,45-60,8-11,q4,45-60|8-11|q4
81105698500,train,47.04,112.0,6.819,8.0,45-60,8-11,q3,45-60|8-11|q3
81113697000,test,57.83,266.6,3.67,7.0,45-60,6-7,q2,45-60|6-7|q2
81156902900,train,38.02,154.38,4.167,8.0,30-45,8-11,q2,30-45|8-11|q2
81168167200,train,58.57,68.98,7.537,12.0,45-60,12+,q3,45-60|12+|q3
81253127900,train,16.05,44.08,14.25,7.0,15-30,6-7,q4,15-30|6-7|q4
81585082300,train,59.56,128.27,6.231,12.0,45-60,12+,q3,45-60|12+|q3
81585129701,train,14.61,317.45,7.374,6.0,0-15,6-7,q3,0-15|6-7|q3
81607569200,train,59.53,264.07,6.627,12.0,45-60,12+,q3,45-60|12+|q3
81610098500,test,43.02,356.42,4.619,8.0,30-45,8-11,q2,30-45|8-11|q2
81781729600,train,18.35,1.49,13.968,8.0,15-30,8-11,q4,15-30|8-11|q4
81797945200,train,44.28,346.13,3.603,6.0,30-45,6-7,q2,30-45|6-7|q2
81881294400,train,19.4,193.55,11.303,7.0,15-30,6-7,q4,15-30|6-7|q4
81906422300,train,43.29,247.88,5.213,8.0,30-45,8-11,q3,30-45|8-11|q3
81906824000,train,54.55,6.99,3.452,6.0,45-60,6-7,q2,45-60|6-7|q2
81914122100,test,12.08,104.39,4.325,6.0,0-15,6-7,q2,0-15|6-7|q2
82070665200,train,46.37,240.93,5.897,7.0,45-60,6-7,q3,45-60|6-7|q3
82113137900,test,43.65,355.48,3.825,8.0,30-45,8-11,q2,30-45|8-11|q2
82116035000,test,18.96,323.44,3.659,6.0,15-30,6-7,q2,15-30|6-7|q2
82145073600,train,43.47,261.01,2.506,6.0,30-45,6-7,q1,30-45|6-7|q1
82223486100,test,17.04,214.25,7.164,7.0,15-30,6-7,q3,15-30|6-7|q3
82250891800,train,59.32,237.33,2.798,8.0,45-60,8-11,q1,45-60|8-11|q1
82298042900,train,5.65,194.43,3.911,6.0,0-15,6-7,q2,0-15|6-7|q2
82350218700,train,46.65,29.46,8.24,8.0,45-60,8-11,q4,45-60|8-11|q4
82434507700,test,29.62,88.53,15.178,9.0,15-30,8-11,q4,15-30|8-11|q4
82483821600,train,34.13,25.22,46.018,14.0,30-45,12+,q4,30-45|12+|q4
82531268300,validation,47.53,220.88,4.128,7.0,45-60,6-7,q2,45-60|6-7|q2
82544965600,train,32.71,197.8,5.768,8.0,30-45,8-11,q3,30-45|8-11|q3
82593053700,test,40.82,297.33,25.271,13.0,30-45,12+,q4,30-45|12+|q4
82603575000,train,33.44,300.93,8.324,7.0,30-45,6-7,q4,30-45|6-7|q4
82726270900,train,32.13,229.12,9.172,7.0,30-45,6-7,q4,30-45|6-7|q4
82817393100,train,4.64,350.54,6.13,6.0,0-15,6-7,q3,0-15|6-7|q3
82851346600,train,52.4,260.43,9.964,6.0,45-60,6-7,q4,45-60|6-7|q4
82887630800,test,10.08,40.42,20.52,9.0,0-15,8-11,q4,0-15|8-11|q4
82896552700,train,21.35,238.49,4.237,7.0,15-30,6-7,q2,15-30|6-7|q2
82934640601,train,59.08,21.07,2.963,9.0,45-60,8-11,q1,45-60|8-11|q1
82948264200,test,9.02,125.93,3.292,6.0,0-15,6-7,q1,0-15|6-7|q1
82977021300,train,52.25,70.25,12.646,12.0,45-60,12+,q4,45-60|12+|q4
82980913601,train,6.63,70.26,6.664,6.0,0-15,6-7,q3,0-15|6-7|q3
82982832400,train,25.68,332.85,5.373,6.0,15-30,6-7,q3,15-30|6-7|q3
82996606700,test,14.97,171.27,5.67,6.0,0-15,6-7,q3,0-15|6-7|q3
83044044700,validation,47.37,225.25,8.944,9.0,45-60,8-11,q4,45-60|8-11|q4
83046518001,train,3.01,190.78,4.234,6.0,0-15,6-7,q2,0-15|6-7|q2
83050953800,test,37.87,178.58,8.609,8.0,30-45,8-11,q4,30-45|8-11|q4
83066242900,validation,53.14,319.16,2.773,6.0,45-60,6-7,q1,45-60|6-7|q1
83102301800,train,55.48,86.69,3.324,9.0,45-60,8-11,q1,45-60|8-11|q1
83225633600,train,28.34,251.66,62.939,11.0,15-30,8-11,q4,15-30|8-11|q4
83230334500,train,6.68,138.85,12.628,6.0,0-15,6-7,q4,0-15|6-7|q4
83243830400,validation,46.69,243.13,27.343,11.0,45-60,8-11,q4,45-60|8-11|q4
83275896400,train,18.3,126.99,4.042,7.0,15-30,6-7,q2,15-30|6-7|q2
83281913100,train,53.82,209.69,3.487,7.0,45-60,6-7,q2,45-60|6-7|q2
83334987700,train,17.27,235.51,9.753,6.0,15-30,6-7,q4,15-30|6-7|q4
83391562800,train,34.77,295.67,8.228,7.0,30-45,6-7,q4,30-45|6-7|q4
83444303700,train,55.52,234.61,3.305,8.0,45-60,8-11,q1,45-60|8-11|q1
83446768700,train,42.63,230.21,4.902,7.0,30-45,6-7,q3,30-45|6-7|q3
83476356100,train,48.55,160.01,7.851,8.0,45-60,8-11,q4,45-60|8-11|q4
83551706700,train,57.17,215.03,4.268,12.0,45-60,12+,q2,45-60|12+|q2
83636666500,train,20.48,127.85,7.262,7.0,15-30,6-7,q3,15-30|6-7|q3
90035977000,train,31.24,126.09,4.668,6.0,30-45,6-7,q2,30-45|6-7|q2
90040006600,validation,44.9,55.46,18.764,14.0,30-45,12+,q4,30-45|12+|q4
90083036400,train,39.79,227.57,8.084,7.0,30-45,6-7,q4,30-45|6-7|q4
90087857600,train,31.98,316.77,4.604,6.0,30-45,6-7,q2,30-45|6-7|q2
90177014800,train,58.97,163.05,7.735,10.0,45-60,8-11,q4,45-60|8-11|q4
90185885500,train,48.73,119.9,7.249,12.0,45-60,12+,q3,45-60|12+|q3
90423762500,train,40.96,198.13,2.984,8.0,30-45,8-11,q1,30-45|8-11|q1
90427092800,train,8.92,9.62,3.8,6.0,0-15,6-7,q2,0-15|6-7|q2
90465379300,train,29.72,22.56,21.399,12.0,15-30,12+,q4,15-30|12+|q4
90588444800,test,28.65,197.11,4.243,8.0,15-30,8-11,q2,15-30|8-11|q2
90593746000,validation,43.06,149.67,4.089,6.0,30-45,6-7,q2,30-45|6-7|q2
90631162100,train,43.05,316.71,3.853,8.0,30-45,8-11,q2,30-45|8-11|q2
90776334300,train,18.78,270.75,10.037,7.0,15-30,6-7,q4,15-30|6-7|q4
90825715900,train,11.58,224.64,5.032,6.0,0-15,6-7,q3,0-15|6-7|q3
90847972900,validation,51.2,304.02,9.075,7.0,45-60,6-7,q4,45-60|6-7|q4
90866558800,train,38.1,329.69,2.686,6.0,30-45,6-7,q1,30-45|6-7|q1
90873923800,validation,20.66,196.22,15.035,7.0,15-30,6-7,q4,15-30|6-7|q4
90903305500,validation,14.92,6.32,5.226,7.0,0-15,6-7,q3,0-15|6-7|q3
90970606700,train,15.74,175.15,7.154,7.0,15-30,6-7,q3,15-30|6-7|q3
90977149700,test,54.0,204.57,2.715,7.0,45-60,6-7,q1,45-60|6-7|q1
91004211500,train,51.49,285.88,7.801,6.0,45-60,6-7,q4,45-60|6-7|q4
91061807100,validation,26.77,21.54,6.422,7.0,15-30,6-7,q3,15-30|6-7|q3
91722424100,train,42.96,68.67,4.358,8.0,30-45,8-11,q2,30-45|8-11|q2
91804968500,train,51.65,206.94,2.503,7.0,45-60,6-7,q1,45-60|6-7|q1
91826634400,train,55.73,318.12,6.041,12.0,45-60,12+,q3,45-60|12+|q3
91920579600,train,47.51,112.51,3.811,6.0,45-60,6-7,q2,45-60|6-7|q2
91924170700,train,13.38,304.51,3.788,6.0,0-15,6-7,q2,0-15|6-7|q2
91951444900,train,32.77,222.57,23.922,10.0,30-45,8-11,q4,30-45|8-11|q4
91983692400,train,56.54,265.39,2.905,6.0,45-60,6-7,q1,45-60|6-7|q1
92041380801,validation,33.57,316.05,16.163,9.0,30-45,8-11,q4,30-45|8-11|q4
92097408200,validation,14.29,258.86,7.485,6.0,0-15,6-7,q3,0-15|6-7|q3
92136709700,train,8.31,242.67,35.533,11.0,0-15,8-11,q4,0-15|8-11|q4
92152268600,train,18.06,195.56,3.225,6.0,15-30,6-7,q1,15-30|6-7|q1
92181521100,train,58.18,133.53,3.936,8.0,45-60,8-11,q2,45-60|8-11|q2
92303909900,train,20.17,6.72,3.859,6.0,15-30,6-7,q2,15-30|6-7|q2
92408341600,train,39.41,110.61,6.362,6.0,30-45,6-7,q3,30-45|6-7|q3
92513906300,test,44.92,236.92,4.462,8.0,30-45,8-11,q2,30-45|8-11|q2
92531104800,train,18.6,168.52,5.146,6.0,15-30,6-7,q3,15-30|6-7|q3
92557267000,train,38.84,54.45,7.394,9.0,30-45,8-11,q3,30-45|8-11|q3
92582788500,validation,24.22,246.49,42.241,12.0,15-30,12+,q4,15-30|12+|q4
92862504800,train,35.35,38.9,3.386,6.0,30-45,6-7,q2,30-45|6-7|q2
92921323600,validation,43.49,40.9,8.094,9.0,30-45,8-11,q4,30-45|8-11|q4
92925985001,validation,13.69,151.41,7.929,8.0,0-15,8-11,q4,0-15|8-11|q4
93053139000,train,39.29,318.91,4.918,6.0,30-45,6-7,q3,30-45|6-7|q3
93094176500,test,27.64,359.85,2.862,6.0,15-30,6-7,q1,15-30|6-7|q1
93163704500,test,38.9,146.6,10.631,7.0,30-45,6-7,q4,30-45|6-7|q4
93185148900,train,41.76,146.78,6.293,8.0,30-45,8-11,q3,30-45|8-11|q3
93358183500,train,17.63,230.42,4.83,6.0,15-30,6-7,q3,15-30|6-7|q3
93397385000,test,48.23,309.14,7.826,7.0,45-60,6-7,q4,45-60|6-7|q4
93424212300,train,36.33,163.76,7.234,8.0,30-45,8-11,q3,30-45|8-11|q3
93437328900,train,39.48,1.36,41.25,12.0,30-45,12+,q4,30-45|12+|q4
93454336000,train,23.88,218.2,5.383,6.0,15-30,6-7,q3,15-30|6-7|q3
93492881000,train,47.49,119.89,2.876,6.0,45-60,6-7,q1,45-60|6-7|q1
93560333600,train,57.19,58.05,4.582,8.0,45-60,8-11,q2,45-60|8-11|q2
93594709300,train,11.69,129.78,3.91,7.0,0-15,6-7,q2,0-15|6-7|q2
93605051900,train,36.65,301.75,5.26,8.0,30-45,8-11,q3,30-45|8-11|q3
93608329000,train,7.04,248.96,4.266,6.0,0-15,6-7,q2,0-15|6-7|q2
100090321800,train,46.38,52.74,34.468,15.0,45-60,12+,q4,45-60|12+|q4
100152780400,train,23.5,301.98,6.929,7.0,15-30,6-7,q3,15-30|6-7|q3
100196848801,train,39.69,201.95,2.927,6.0,30-45,6-7,q1,30-45|6-7|q1
100236473800,test,55.23,135.22,12.45,12.0,45-60,12+,q4,45-60|12+|q4
100250956900,train,5.34,349.73,4.532,6.0,0-15,6-7,q2,0-15|6-7|q2
100282331000,validation,13.58,294.01,4.273,6.0,0-15,6-7,q2,0-15|6-7|q2
100481884200,train,50.68,86.41,3.002,7.0,45-60,6-7,q1,45-60|6-7|q1
100534779900,train,40.88,269.02,3.867,6.0,30-45,6-7,q2,30-45|6-7|q2
100650285600,train,16.92,196.06,15.065,7.0,15-30,6-7,q4,15-30|6-7|q4
100657358200,train,59.28,54.09,3.675,7.0,45-60,6-7,q2,45-60|6-7|q2
100748217100,train,59.46,85.52,2.984,8.0,45-60,8-11,q1,45-60|8-11|q1
100783655900,train,47.05,302.75,2.566,7.0,45-60,6-7,q1,45-60|6-7|q1
100830261900,validation,59.81,269.54,3.216,8.0,45-60,8-11,q1,45-60|8-11|q1
100857935600,test,12.72,1.82,3.739,6.0,0-15,6-7,q2,0-15|6-7|q2
100973073300,validation,30.79,267.86,13.916,9.0,30-45,8-11,q4,30-45|8-11|q4
100994646500,train,58.07,252.17,2.51,8.0,45-60,8-11,q1,45-60|8-11|q1
101017367800,train,54.99,278.62,27.44,15.0,45-60,12+,q4,45-60|12+|q4
101081203500,train,37.93,19.44,13.591,8.0,30-45,8-11,q4,30-45|8-11|q4
101083410600,train,54.55,85.94,7.743,6.0,45-60,6-7,q4,45-60|6-7|q4
101217131400,train,35.29,142.15,9.919,6.0,30-45,6-7,q4,30-45|6-7|q4
101242555500,validation,46.0,218.36,5.161,7.0,45-60,6-7,q3,45-60|6-7|q3
101246093600,train,44.77,265.93,5.076,8.0,30-45,8-11,q3,30-45|8-11|q3
101312529300,train,58.47,73.23,9.951,12.0,45-60,12+,q4,45-60|12+|q4
101322517300,validation,41.98,179.9,6.38,8.0,30-45,8-11,q3,30-45|8-11|q3
101330181900,train,13.4,223.45,8.836,6.0,0-15,6-7,q4,0-15|6-7|q4
101556795900,validation,38.38,347.28,7.179,8.0,30-45,8-11,q3,30-45|8-11|q3
101667371600,train,59.15,199.59,3.568,8.0,45-60,8-11,q2,45-60|8-11|q2
101727318500,validation,12.33,230.38,8.856,6.0,0-15,6-7,q4,0-15|6-7|q4
101736280200,train,14.28,186.68,8.038,6.0,0-15,6-7,q4,0-15|6-7|q4
